hand1,hand2,flop,turn,river,flop_quality,flop_dynamic_score
"['Ah', 'As']","['Kc', '9h']","['Qd', '7s', '5h']",['Tc'],['Td'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ac']","['Qd', '9h']","['Ks', '6d', 'Tc']",['Kh'],['Qs'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Ac', 'Ah']","['Jh', '9c']","['Js', '9h', 'Ts']",['Ks'],['Jc'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['As', 'Ah']","['Tc', '9s']","['4d', 'Ac', 'Th']",['2c'],['Kh'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['Ad', 'As']","['9d', '9c']","['3c', '7s', 'Jc']",['8s'],['Qd'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ac', 'As']","['9c', '8c']","['8s', '6s', '4c']",['9s'],['Jh'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ah', 'Ad']","['9h', '7h']","['2h', 'Td', '7s']",['As'],['4s'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ah', 'Ac']","['9h', '6h']","['8h', 'Th', '5d']",['4c'],['Qh'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ac', 'As']","['9d', '5d']","['7s', 'Ad', 'Qd']",['7h'],['Ts'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ad', 'Ah']","['9c', '4c']","['6d', 'Qh', 'Ts']",['4d'],['2h'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ac']","['9s', '3s']","['2h', '9c', '7d']",['Td'],['8d'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ad', 'Ac']","['9h', '2h']","['Js', '3s', 'Qc']",['9s'],['2c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ac', 'Ad']","['Ah', '8c']","['6s', 'Jh', 'Qc']",['3s'],['Jd'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ad']","['Kd', '8h']","['5h', '6h', '4d']",['9s'],['3c'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ah', 'As']","['Qs', '8h']","['Jh', 'Qh', 'Kd']",['8s'],['6d'],"['Highly connected', 'Two-tone', 'Unpaired', 'King high']",4.5
"['Ac', 'Ad']","['Jd', '8c']","['Ks', '4d', '6c']",['Qs'],['4s'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Ah', 'Ac']","['Tc', '8d']","['3d', '5s', '5c']",['Ks'],['4h'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Ah', 'Ac']","['9c', '8s']","['8d', '9s', 'Kd']",['7c'],['7h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['As', 'Ac']","['8h', '8d']","['Kh', '4s', 'Qd']",['4d'],['Ah'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['As', 'Ac']","['8h', '7h']","['8c', 'Qc', '8s']",['2h'],['9s'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Ad', 'As']","['8h', '6h']","['7c', '5s', '5h']",['Tc'],['Qh'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['Ac', 'Ah']","['8d', '5d']","['4c', 'Jh', '7d']",['3c'],['8h'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ac', 'Ad']","['8d', '4d']","['9d', '3d', 'Qh']",['9h'],['Ks'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ac', 'As']","['8d', '3d']","['7s', '2h', 'Td']",['6s'],['Ks'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ad', 'As']","['8c', '2c']","['3d', '6c', '5h']",['Kd'],['8h'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['Ah', 'Ad']","['Ac', '7s']","['3s', 'Jd', 'Td']",['4h'],['4d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ac', 'Ah']","['Kc', '7s']","['Tc', '5h', '2d']",['2s'],['3d'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['As', 'Ac']","['Qc', '7s']","['Qh', '2s', '9s']",['7c'],['9d'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['As', 'Ad']","['Jc', '7d']","['2s', '4d', '6d']",['Qc'],['Th'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ad', 'As']","['Th', '7s']","['Qh', '8s', '5d']",['3h'],['4s'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ad', 'Ah']","['9h', '7s']","['Kc', 'Js', '5h']",['Ks'],['4c'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Ad', 'As']","['8c', '7d']","['Ts', '3d', '4c']",['9c'],['2s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ac']","['7s', '7d']","['5s', '5d', '2h']",['Js'],['6c'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Ah', 'As']","['7h', '6h']","['Kc', '6d', 'Ks']",['7c'],['8c'],"['Disconnected', 'Rainbow', 'Paired', 'King high']",1.0
"['As', 'Ad']","['7c', '5c']","['2c', '6d', '5s']",['Th'],['Tc'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ac', 'Ad']","['7s', '4s']","['2h', 'Jd', '6s']",['7d'],['Qd'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['As', 'Ad']","['7h', '3h']","['Kd', '4d', 'Qs']",['5d'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ac', 'Ad']","['7d', '2d']","['9d', 'Td', 'Qh']",['8c'],['Ks'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Ah', 'Ac']","['As', '6h']","['6c', '4s', '7s']",['Qh'],['3d'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ac', 'As']","['Ks', '6d']","['4c', '3c', '2c']",['Jh'],['8s'],"['Highly connected', 'Monotone', 'Unpaired']",6.75
"['Ah', 'Ad']","['Qh', '6c']","['8d', '2h', '6h']",['Jc'],['5c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['As', 'Ac']","['Jd', '6c']","['8c', '8s', '4d']",['2s'],['Js'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Ah', 'Ac']","['Th', '6s']","['9c', '9h', '4d']",['5d'],['3s'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Ah', 'As']","['9s', '6h']","['Ts', '8h', 'Td']",['Ks'],['7h'],"['Moderately connected', 'Rainbow', 'Paired']",2.5
"['Ac', 'As']","['8d', '6c']","['Kd', 'Th', '8s']",['6h'],['8c'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Ad', 'Ac']","['7c', '6s']","['Jc', '5d', 'Qs']",['3c'],['Kd'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ad']","['6h', '6s']","['9c', 'Jc', '9d']",['7d'],['Kc'],"['Moderately connected', 'Two-tone', 'Paired']",4.0
"['As', 'Ad']","['6h', '5h']","['6d', '2c', '7s']",['7h'],['5c'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ac', 'Ad']","['6d', '4d']","['4s', '9h', 'Jd']",['9c'],['7c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ac', 'Ad']","['6d', '3d']","['9h', 'Kh', 'Jd']",['Qd'],['8d'],"['Highly connected', 'Two-tone', 'Unpaired', 'King high']",4.5
"['Ac', 'Ah']","['6c', '2c']","['9c', '3s', '5d']",['8c'],['8d'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ac', 'As']","['Ad', '5s']","['6c', 'Qh', '4h']",['Kc'],['8s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['As', 'Ad']","['Kh', '5s']","['Ac', 'Kd', '3c']",['7s'],['2s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ah', 'As']","['Qs', '5h']","['3c', '4h', '8h']",['6s'],['3s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ac', 'As']","['Jc', '5s']","['7c', '4c', '2d']",['5h'],['Qs'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ad', 'As']","['Tc', '5h']","['2c', '6c', '9s']",['Ts'],['5d'],"['Disconnected', 'Two-tone', 'Unpaired']",2.25
"['Ah', 'As']","['9d', '5c']","['4h', '9s', 'Kd']",['8c'],['6d'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['As', 'Ac']","['8s', '5d']","['Tc', 'Jh', '2s']",['Kd'],['Jd'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['As', 'Ah']","['7c', '5s']","['3h', 'Qd', 'Ad']",['Jh'],['3c'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ah', 'Ac']","['6c', '5s']","['Kc', '6s', '4h']",['8c'],['Js'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Ah', 'Ad']","['5d', '5h']","['9c', 'Td', '6c']",['7s'],['6h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'As']","['5d', '4d']","['5c', '9s', 'Th']",['5h'],['9h'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ad']","['5c', '3c']","['2d', 'Kh', 'Qd']",['6c'],['6s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ac', 'Ad']","['5d', '2d']","['Kh', 'Kc', '7h']",['Jc'],['8s'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['As', 'Ac']","['Ah', '4s']","['Qd', '8c', '6c']",['Kc'],['5d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ad', 'Ac']","['Kh', '4s']","['3d', '4h', 'Qh']",['2c'],['Kc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'Ac']","['Qd', '4s']","['9c', 'Js', 'Tc']",['As'],['3c'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Ah', 'Ad']","['Js', '4c']","['5h', '6h', '5s']",['7d'],['3d'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['Ad', 'As']","['Td', '4c']","['2d', '7d', 'Jd']",['3c'],['Tc'],"['Disconnected', 'Monotone', 'Unpaired']",3.0
"['Ah', 'Ac']","['9d', '4c']","['7d', '7s', '8s']",['2h'],['Ad'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['Ac', 'Ad']","['8c', '4s']","['9s', 'Jd', '3d']",['Tc'],['Kh'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'As']","['7h', '4c']","['Qc', '3c', '7d']",['Kc'],['3h'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ad', 'As']","['6h', '4d']","['5s', 'Qh', '3c']",['6d'],['5h'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['As', 'Ad']","['5s', '4h']","['Tc', '6d', '5h']",['Ac'],['9s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ac', 'As']","['4s', '4c']","['Qh', 'Qs', 'Jc']",['Jh'],['5c'],"['Moderately connected', 'Rainbow', 'Paired']",2.5
"['Ad', 'As']","['4d', '3d']","['5h', '8s', 'Qs']",['Jd'],['Qc'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['As', 'Ah']","['4h', '2h']","['Kc', '2c', '2d']",['7h'],['Qd'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Ac', 'Ad']","['As', '3s']","['7d', '3h', '5h']",['2h'],['Kh'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ah', 'Ad']","['Kh', '3s']","['8h', '3c', 'Kc']",['2d'],['5h'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Ad', 'Ah']","['Qd', '3c']","['Ks', '2h', '4c']",['Ts'],['7d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Ad', 'Ah']","['Jd', '3c']","['8h', 'Th', 'Qh']",['9h'],['9s'],"['Highly connected', 'Monotone', 'Unpaired']",6.0
"['Ah', 'Ad']","['Td', '3s']","['Qd', '6s', 'Tc']",['7s'],['5h'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ad', 'Ac']","['9s', '3c']","['9h', '8c', 'Jh']",['Jc'],['7c'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['As', 'Ad']","['8c', '3s']","['Qc', 'Jc', 'Tc']",['Qs'],['4d'],"['Highly connected', 'Monotone', 'Unpaired']",6.0
"['Ad', 'Ah']","['7s', '3d']","['Kh', '2d', '6c']",['5c'],['Qh'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['As', 'Ah']","['6c', '3h']","['8h', 'Kh', 'Jc']",['7s'],['5s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ad', 'Ah']","['5h', '3d']","['2s', 'Qs', 'Kd']",['4h'],['Th'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['As', 'Ad']","['4c', '3s']","['Qh', '6h', '5s']",['8s'],['8d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['As', 'Ad']","['3s', '3h']","['Ah', '4d', '2c']",['2s'],['Qh'],"['Highly connected', 'Rainbow', 'Unpaired', 'Ace high']",3.0
"['Ac', 'Ah']","['3s', '2s']","['2h', '8d', '6h']",['Td'],['7c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ad', 'Ah']","['Ac', '2h']","['Td', 'As', '6c']",['Tc'],['Kh'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['Ad', 'Ac']","['Kd', '2c']","['2h', '4s', '5s']",['Jh'],['3s'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ad', 'As']","['Qc', '2h']","['Jd', 'Qs', '4s']",['2d'],['5h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'Ac']","['Jd', '2s']","['Jc', '5h', 'Ts']",['9s'],['4s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'As']","['Th', '2c']","['3c', '9s', '7s']",['8c'],['6h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['As', 'Ac']","['9c', '2s']","['9d', '2c', 'Tc']",['Kh'],['4d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['As', 'Ac']","['8h', '2d']","['5s', '5c', 'Js']",['Kh'],['Qh'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Ah', 'As']","['7c', '2h']","['Qc', 'Kh', '6c']",['Qd'],['7d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ah', 'Ac']","['6h', '2c']","['2s', 'Jd', '5c']",['6s'],['4c'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['As', 'Ah']","['5h', '2d']","['9d', '9h', 'Kc']",['5s'],['Ks'],"['Disconnected', 'Rainbow', 'Paired', 'King high']",1.0
"['Ac', 'Ah']","['4d', '2h']","['Js', '4h', '4c']",['7c'],['Jc'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['As', 'Ac']","['3s', '2d']","['Qs', '9h', '7d']",['8c'],['Th'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['As', 'Ah']","['2d', '2s']","['8s', '5d', 'Kh']",['6d'],['5c'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['As', 'Ks']","['Ac', 'Qc']","['2s', '8h', '4d']",['5h'],['6d'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ad', 'Kd']","['Ac', 'Jc']","['Jd', 'Kh', 'Qd']",['2c'],['7d'],"['Highly connected', 'Two-tone', 'Unpaired', 'King high']",4.5
"['Ad', 'Kd']","['Ah', 'Th']","['Jd', '7c', 'Qs']",['6d'],['Ac'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['As', 'Ks']","['Ad', '9d']","['Kh', '5c', '4s']",['Tc'],['3s'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['As', 'Ks']","['Ah', '8h']","['3d', '9d', 'Kc']",['7s'],['5s'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Ah', 'Kh']","['As', '7s']","['3s', 'Th', '4s']",['Qh'],['Kc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'Kh']","['Ac', '6c']","['8s', '9c', 'Qd']",['Js'],['2s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Kh']","['As', '5s']","['Tc', 'Th', '9c']",['2s'],['3d'],"['Moderately connected', 'Two-tone', 'Paired']",4.0
"['Ah', 'Kh']","['As', '4h']","['Jc', '4d', '6d']",['2c'],['Qd'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'Kh']","['As', '3h']","['2s', 'Qd', '7c']",['Jd'],['Tc'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ac', 'Kc']","['As', '2s']","['Jh', '9s', '3h']",['3c'],['2c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
